Время срабатывания,Квитировать,Сообщение
10.06.2020 06:06:59.322,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
10.06.2020 06:06:59.249,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
10.06.2020 06:06:59.049,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:06:57.050,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
10.06.2020 06:06:56.950,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:03:04.216,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 05:56:06.585,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:56:07.207,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
10.06.2020 05:56:06.907,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
10.06.2020 05:56:06.835,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
10.06.2020 05:56:05.208,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 05:56:05.136,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 05:56:04.986,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:37:31.189,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 05:34:56.185,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
10.06.2020 05:31:54.182,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
10.06.2020 05:30:34.381,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
10.06.2020 05:30:34.080,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
10.06.2020 05:30:34.008,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
10.06.2020 05:30:33.759,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:30:31.980,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 05:30:31.909,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 05:30:31.758,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:27:58.878,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
10.06.2020 05:27:58.806,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
10.06.2020 05:27:56.656,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
10.06.2020 05:27:56.506,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:24:58.665,Не квитировано,PT-941. Давление фреона на входе компрессора К-101. НОРМА
10.06.2020 05:24:58.665,Не квитировано,PT-941. Давление фреона на входе компрессора К-101. «Минимум» СНЯТ
10.06.2020 05:24:57.665,Не квитировано,PT-941. Давление фреона на входе компрессора К-101. «Минимум»
10.06.2020 05:24:56.874,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
10.06.2020 05:24:56.802,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
10.06.2020 05:24:56.602,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:24:54.252,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
10.06.2020 05:24:54.102,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:17:42.166,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 05:10:44.258,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
10.06.2020 05:10:43.959,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
10.06.2020 05:10:43.888,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
10.06.2020 05:10:43.637,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 05:10:42.259,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 05:10:42.188,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 05:10:42.037,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:58:17.146,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 04:51:28.138,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
10.06.2020 04:51:19.736,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
10.06.2020 04:51:19.436,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
10.06.2020 04:51:19.365,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
10.06.2020 04:51:19.115,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:51:17.736,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 04:51:17.665,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 04:51:17.515,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:44:30.930,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
10.06.2020 04:44:30.857,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
10.06.2020 04:44:30.657,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:44:28.657,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
10.06.2020 04:44:28.557,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:42:58.128,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
10.06.2020 04:37:33.123,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 04:36:00.920,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
10.06.2020 04:36:00.848,Не квитировано,Компрессор К-101. ОТКЛЮЧЕН
10.06.2020 04:36:00.648,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:35:58.647,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
10.06.2020 04:35:58.547,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:30:35.513,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
10.06.2020 04:30:35.214,Не квитировано,Компрессор К-111. ЗАДЕРЖКА
10.06.2020 04:30:35.143,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
10.06.2020 04:30:34.893,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:30:33.414,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 04:30:33.343,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 04:30:33.193,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:09:50.092,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 04:07:16.089,Не квитировано,Компрессор К-102. ЗАДЕРЖКА СНЯТА
10.06.2020 04:02:52.885,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. РАЗОМКНУТ
10.06.2020 04:02:52.514,Не квитировано,Компрессор К-111. ОТКЛЮЧЕН
10.06.2020 04:02:52.264,Не квитировано,Компрессор К-111. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:02:50.385,Не квитировано,FS-951. Защита компрессора К-111 от низкого давления масла. ЗАМКНУТ
10.06.2020 04:02:50.313,Не квитировано,Компрессор К-111. ВКЛЮЧЕН
10.06.2020 04:02:50.164,Не квитировано,Компрессор К-111. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:00:18.881,Не квитировано,Компрессор К-102. ЗАДЕРЖКА
10.06.2020 04:00:18.809,Не квитировано,Компрессор К-102. ОТКЛЮЧЕН
10.06.2020 04:00:18.609,Не квитировано,Компрессор К-102. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 04:00:16.759,Не квитировано,Компрессор К-102. ВКЛЮЧЕН
10.06.2020 04:00:16.609,Не квитировано,Компрессор К-102. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 03:52:19.073,Не квитировано,Компрессор К-101. ЗАДЕРЖКА СНЯТА
10.06.2020 03:51:06.071,Не квитировано,Компрессор К-111. ЗАДЕРЖКА СНЯТА
10.06.2020 03:45:21.864,Не квитировано,Компрессор К-101. ЗАДЕРЖКА
